sample	P057	P054	P052	P050	P049	P048	P047	P046	P044	P043	P042	P039	P037	P036	P035	P034	P029	P028	P027	P014	P007	P006	P003	P002	MSM_L2_F2	MSM_L2_F1	MSM_L2_E8	MSM_L2_E7	MSM_L2_E5	MSM_L2_E3	MSM_L2_E12	MSM_L2_E11	MSM_L2_D9	MSM_L2_D5	MSM_L2_D2	MSM_L2_C9	MSM_L2_C8	MSM_L2_C7	MSM_L2_C6	MSM_L2_C2	MSM_L2_C1	MSM_L2_B9	MSM_L2_B8	MSM_L2_B6	MSM_L2_B5	MSM_L2_B12	MSM_L2_B11	MSM_L2_A8	MSM_L2_A5	MSM_L2_A1	MSM_L2_A12	MSM_L2_A10
Rothia_dentocariosa|t__SGB16988_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00255
Rothia_mucilaginosa|t__SGB16971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.00279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.00193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00671
Rothia_mucilaginosa|t__SGB16986	0.0	0.0	0.0	0.0	0.03224	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.01028	0.0	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.00024	0.00446	0.00229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isoptericola_variabilis|t__SGB17153_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacterium_freudenreichii|t__SGB15904	0.0	0.0	0.0	0.0	0.0	0.03162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.00204	0.0	0.0	0.0	0.02434	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB18384_SGB72500|t__SGB72500_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85665	0.0	0.0	0.0	0.0	0.0	0.0	0.00615	0.0	0.07272	0.0	0.0	0.0	0.0	0.0	0.0	0.01291
GGB51959_SGB72479|t__SGB72479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00739	0.0	0.0	0.0	0.00445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lancefieldella_parvula|t__SGB969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_sp_GAM18|t__SGB14370_group	0.0	0.00103	0.02249	0.0	0.01472	0.04403	0.01013	0.00728	0.03166	0.06062	0.47411	0.0184	0.18166	0.04075	0.0	0.08373	0.0	0.02623	0.0	0.10566	0.03764	0.02254	0.14422	0.13932	0.0	0.0	0.0111	0.01327	0.0	0.032	0.0	0.0	0.00855	0.0	0.0	0.09281	0.07653	0.14433	0.0	0.0	0.08905	0.03843	0.02	0.07938	0.06703	0.00321	0.0742	0.05201	0.00655	0.0	0.06393	0.16833
Olsenella_umbonata|t__SGB14394	0.0	0.0	0.0	0.0	0.0	0.01122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15067	0.0	0.0	0.0
Parolsenella_catena|t__SGB14379	0.0	0.00042	0.0	0.00044	0.01685	0.13984	0.03509	0.01683	0.11647	0.11336	0.0	0.02851	0.0	0.03102	0.00109	0.0	0.0	0.0	0.0	0.0	0.00904	0.00439	0.27976	0.02989	0.0	0.0	0.01055	0.02081	0.0	0.0	0.0	0.0	0.00204	0.0	0.0	0.00916	0.01609	0.0	0.0	0.02208	0.07594	0.05048	0.02504	0.04241	0.03871	0.0	0.11213	0.0	0.06635	0.0	0.04256	0.12252
Collinsella_aerofaciens|t__SGB14546_group	0.24448	0.06654	0.11132	0.1457	0.16043	0.28029	2.21602	0.73668	0.29378	1.00059	0.0	2.42461	0.3091	0.14905	0.07706	0.16858	0.08224	0.76508	0.80178	0.50321	0.47118	0.1158	1.29353	0.09576	2.20078	0.0	0.06295	0.2343	0.30735	0.73458	0.09134	0.06723	0.25666	0.00619	0.0	0.31825	0.20569	0.06463	0.0	1.40246	0.34569	0.37722	0.76268	0.37307	0.13838	0.22618	0.36899	0.15516	0.13004	3.83197	0.06051	0.28702
Collinsella_bouchesdurhonensis|t__SGB14397	0.0	0.0	0.00594	0.0	0.05117	0.01166	0.00538	0.00479	0.02066	0.047	0.0	0.05009	0.03307	0.05303	0.01327	0.11859	0.0	0.00071	0.09632	0.03339	0.0269	0.02859	0.11858	0.0177	0.0	0.0	0.00156	0.03692	0.0	0.0	0.10839	0.0175	0.00964	0.0	0.0	0.05288	0.00682	0.01972	0.0	0.00568	0.01875	0.04902	0.01326	0.01621	0.06459	0.01465	0.0404	0.0	0.04593	0.09012	0.01309	0.07308
Collinsella_sp_An7|t__SGB14759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_tanakaei|t__SGB14737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enorma_massiliensis|t__SGB14749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9379_SGB14372|t__SGB14372	0.0	0.0	0.0	0.0	0.0	0.0	0.31148	0.0	0.0	0.0	0.0	0.0	0.0	0.13069	0.0	0.08052	0.0	0.0	0.0017	0.0	0.69623	0.0	0.08588	0.57147	0.0	0.0	0.0	0.04561	0.72128	0.0	0.0	0.01165	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.00578	0.18691	0.16727	0.03857	0.0	0.0	0.0	0.55085	0.0	0.04065	0.0337
Senegalimassilia_anaerobia|t__SGB14824_group	0.00188	0.0	0.0	0.00283	0.01648	0.00686	0.0	0.06056	0.01446	0.00527	0.0028	0.11744	0.00887	0.0	0.01122	0.00319	0.0	0.06928	0.0037	0.0	0.0008	0.0095	0.04483	0.0107	0.0	0.0	0.01242	0.00957	0.03258	0.01305	0.0	0.0	0.0	0.0	0.0	0.00326	0.0	0.0	0.0	0.01018	0.0	0.03207	0.00238	0.02673	0.00339	0.0002	0.0	0.0	0.0	0.00449	0.0	0.00925
Senegalimassilia_faecalis|t__SGB14822	0.16418	0.00219	0.00217	0.01031	0.0	0.02549	0.0	0.09472	0.02453	0.13455	0.03182	0.30916	0.00745	0.0075	0.02341	0.0	0.0	0.0107	0.0461	0.09373	0.03907	0.00423	0.5791	0.01855	0.87217	0.0	0.10641	0.02318	0.0	0.05572	0.0	0.0	0.0	0.0	0.0	0.01582	0.01505	0.00116	0.0	0.0	0.04709	0.05199	0.02218	0.00536	0.01573	0.02453	0.01099	0.00128	0.02582	0.0	0.01177	0.04931
Coriobacteriales_unclassified_SGB72475|t__SGB72475_group	0.0	0.0	0.00044	0.0	0.00269	0.01964	0.0	0.01292	0.0229	0.02142	0.0	0.01253	0.0	0.00162	0.00023	0.0	0.0	0.0	0.03096	0.00722	0.01566	0.0	0.14847	0.05397	0.0	0.0	0.04075	0.01776	0.0	0.00774	0.0	0.0	0.0	0.0	0.0	0.00787	0.01234	0.0	0.0	0.0	0.01846	0.0	0.0	0.05369	0.05024	0.00927	0.0	0.0	0.00035	0.0	0.02593	0.06668
Coriobacteriia_unclassified_SGB14764|t__SGB14764	0.0	0.0	0.0	0.0	0.0	0.00913	0.0	0.0	0.0	0.00053	0.00036	0.0	0.0	0.0	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.00926	0.0	0.0	0.0	0.0	0.03773	0.0	0.0	0.0	0.0	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.01047	0.0	0.0	0.0	0.0	0.0	0.0	0.01267	0.0	0.0	0.0
Adlercreutzia_equolifaciens|t__SGB14797_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01637	0.0	0.0	0.0	0.0	0.0	0.01234	0.0	0.0	0.0	0.0	0.00161	0.0	0.0	0.00029	0.0	0.0	0.0	0.0	0.06595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00819	0.0	0.0	0.0	0.0	0.0
Eggerthellaceae_bacterium|t__SGB14325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10375	0.06616	0.0	0.0	0.0	0.0	0.00746	0.0	0.0	0.0	0.0	0.00812	0.0	0.0	0.0	0.0	0.0	0.0	0.00716	0.0	0.0	0.0	0.01412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03832
Eggerthellaceae_bacterium|t__SGB14326	0.0	0.0	0.0	0.0	0.0	0.05057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04068	0.0	0.0	0.0	0.0	0.0	0.0	0.00158	0.0	0.0	0.0
Eggerthellaceae_bacterium|t__SGB14334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
